Sweeped Octave, -
Resolution, 1/6 octave
Numpoints, 512
Frequency(Hz), Magnitude(dB)
   93.146, -46.434666
   94.137, -46.398438
   95.139, -46.362114
   96.151, -46.325722
   97.174, -46.294376
   98.208, -46.259880
   99.254, -46.225292
  100.310, -46.190613
  101.377, -46.155842
  102.456, -46.120983
  103.546, -46.086037
  104.648, -46.051003
  105.762, -46.015881
  106.887, -45.982727
  108.025, -45.960117
  109.174, -45.929909
  110.336, -45.896442
  111.510, -45.862881
  112.697, -45.829224
  113.896, -45.795471
  115.108, -45.761616
  116.333, -45.727676
  117.571, -45.701485
  118.822, -45.681164
  120.087, -45.657791
  121.365, -45.625427
  122.656, -45.592964
  123.962, -45.560394
  125.281, -45.527733
  126.614, -45.494968
  127.961, -45.472401
  129.323, -45.454323
  130.699, -45.436131
  132.090, -45.409348
  133.496, -45.377975
  134.916, -45.346500
  136.352, -45.314919
  137.803, -45.289925
  139.269, -45.274063
  140.751, -45.258087
  142.249, -45.242001
  143.763, -45.214855
  145.293, -45.184464
  146.839, -45.153961
  148.402, -45.134659
  149.981, -45.120838
  151.577, -45.106903
  153.190, -45.092880
  154.820, -45.071056
  156.468, -45.041634
  158.133, -45.018661
  159.816, -45.006798
  161.516, -44.994835
  163.235, -44.982784
  164.972, -44.970638
  166.728, -44.946129
  168.502, -44.926140
  170.295, -44.916027
  172.107, -44.905830
  173.939, -44.895546
  175.790, -44.885178
  177.661, -44.866890
  179.551, -44.856529
  181.462, -44.847942
  183.393, -44.839279
  185.345, -44.830540
  187.317, -44.821724
  189.310, -44.815849
  191.325, -44.808594
  193.361, -44.801277
  195.419, -44.793888
  197.498, -44.786442
  199.600, -44.792679
  201.724, -44.786636
  203.870, -44.780361
  206.040, -44.774029
  208.233, -44.767635
  210.449, -44.780708
  212.688, -44.780258
  214.951, -44.774689
  217.239, -44.769066
  219.551, -44.772690
  221.887, -44.787479
  224.248, -44.786949
  226.635, -44.781700
  229.046, -44.779663
  231.484, -44.794540
  233.947, -44.808739
  236.437, -44.803421
  238.953, -44.799118
  241.496, -44.813450
  244.066, -44.827980
  246.663, -44.831467
  249.288, -44.827766
  251.941, -44.840828
  254.622, -44.854065
  257.331, -44.862392
  260.070, -44.861427
  262.837, -44.872425
  265.634, -44.883564
  268.461, -44.892021
  271.318, -44.895050
  274.205, -44.903080
  277.123, -44.911209
  280.072, -44.918587
  283.053, -44.922623
  286.065, -44.926697
  289.109, -44.930824
  292.185, -44.938156
  295.295, -44.937225
  298.437, -44.936287
  301.613, -44.941547
  304.823, -44.938141
  308.066, -44.931152
  311.345, -44.927559
  314.658, -44.924274
  318.007, -44.910240
  321.391, -44.898064
  324.811, -44.889057
  328.267, -44.868065
  331.761, -44.846718
  335.291, -44.826385
  338.859, -44.799004
  342.465, -44.767067
  346.109, -44.734356
  349.793, -44.697578
  353.515, -44.652817
  357.277, -44.606903
  361.079, -44.557991
  364.921, -44.498222
  368.805, -44.438641
  372.729, -44.372375
  376.696, -44.298599
  380.705, -44.225285
  384.756, -44.138134
  388.850, -44.050697
  392.988, -43.955460
  397.170, -43.853352
  401.397, -43.753101
  405.668, -43.631641
  409.985, -43.518177
  414.348, -43.389256
  418.758, -43.258591
  423.214, -43.124973
  427.718, -42.974434
  432.269, -42.837074
  436.869, -42.673580
  441.518, -42.521843
  446.217, -42.351173
  450.965, -42.182884
  455.764, -42.008545
  460.614, -41.830341
  465.516, -41.647758
  470.470, -41.463161
  475.476, -41.271530
  480.536, -41.082752
  485.650, -40.883102
  490.818, -40.692375
  496.041, -40.486847
  501.320, -40.295689
  506.655, -40.088802
  512.046, -39.896606
  517.495, -39.689568
  523.002, -39.499199
  528.568, -39.293392
  534.193, -39.104298
  539.877, -38.904606
  545.622, -38.717545
  551.429, -38.527500
  557.297, -38.345345
  563.227, -38.166286
  569.221, -37.992027
  575.279, -37.822201
  581.400, -37.661743
  587.588, -37.501793
  593.840, -37.358486
  600.160, -37.214211
  606.547, -37.084579
  613.001, -36.960777
  619.524, -36.847343
  626.117, -36.745682
  632.780, -36.651840
  639.514, -36.575531
  646.319, -36.506893
  653.197, -36.455151
  660.148, -36.418243
  667.173, -36.393051
  674.273, -36.388165
  681.449, -36.401470
  688.700, -36.431438
  696.029, -36.478531
  703.436, -36.554176
  710.922, -36.650032
  718.487, -36.765877
  726.133, -36.907364
  733.860, -37.080963
  741.670, -37.277023
  749.562, -37.500389
  757.539, -37.749722
  765.600, -38.024315
  773.748, -38.322929
  781.981, -38.639904
  790.303, -38.952358
  798.713, -39.256149
  807.213, -39.534111
  815.803, -39.753242
  824.484, -39.863789
  833.258, -39.854801
  842.125, -39.706207
  851.087, -39.409424
  860.144, -38.968189
  869.297, -38.409782
  878.548, -37.762295
  887.897, -37.060043
  897.346, -36.336967
  906.895, -35.613777
  916.546, -34.909332
  926.299, -34.231857
  936.157, -33.587315
