DFT Spectrum,  -
Numpoints, 2048
SamplingRate(Hz), 44100.000000
DFTresolution(Hz), 10.766602
Frequency(Hz), Magnitude(dB)
   10.767, -45.963665
   21.533, -45.982559
   32.300, -46.014076
   43.066, -46.058273
   53.833, -46.115211
   64.600, -46.184937
   75.366, -46.267494
   86.133, -46.362904
   96.899, -46.471138
  107.666, -46.592125
  118.433, -46.725700
  129.199, -46.871616
  139.966, -47.029522
  150.732, -47.198933
  161.499, -47.379215
  172.266, -47.569580
  183.032, -47.769062
  193.799, -47.976463
  204.565, -48.190380
  215.332, -48.409172
  226.099, -48.630928
  236.865, -48.853443
  247.632, -49.074234
  258.398, -49.290520
  269.165, -49.499233
  279.932, -49.697029
  290.698, -49.880341
  301.465, -50.045448
  312.231, -50.188568
  322.998, -50.305969
  333.765, -50.394127
  344.531, -50.449890
  355.298, -50.470642
  366.064, -50.454468
  376.831, -50.400291
  387.598, -50.307945
  398.364, -50.178223
  409.131, -50.012863
  419.897, -49.814438
  430.664, -49.586254
  441.431, -49.332207
  452.197, -49.056576
  462.964, -48.763885
  473.730, -48.458740
  484.497, -48.145687
  495.264, -47.829132
  506.030, -47.513245
  516.797, -47.201904
  527.563, -46.898697
  538.330, -46.606888
  549.097, -46.329445
  559.863, -46.069042
  570.630, -45.828102
  581.396, -45.608833
  592.163, -45.413246
  602.930, -45.243240
  613.696, -45.100594
  624.463, -44.987053
  635.229, -44.904339
  645.996, -44.854233
  656.763, -44.838577
  667.529, -44.859348
  678.296, -44.918671
  689.062, -45.018860
  699.829, -45.162418
  710.596, -45.352043
  721.362, -45.590542
  732.129, -45.880745
  742.896, -46.225163
  753.662, -46.625553
  764.429, -47.081917
  775.195, -47.590927
  785.962, -48.143158
  796.729, -48.718834
  807.495, -49.281944
  818.262, -49.774666
  829.028, -50.117950
  839.795, -50.227631
  850.562, -50.048332
  861.328, -49.584167
  872.095, -48.896507
  882.861, -48.071304
  893.628, -47.186569
  904.395, -46.298359
  915.161, -45.441345
  925.928, -44.634598
  936.694, -43.887299
  947.461, -43.202827
  958.228, -42.581337
  968.994, -42.021301
  979.761, -41.520344
  990.527, -41.075768
 1001.294, -40.684753
 1012.061, -40.344566
 1022.827, -40.052555
 1033.594, -39.806229
 1044.360, -39.603260
 1055.127, -39.441490
 1065.894, -39.318958
 1076.660, -39.233910
 1087.427, -39.184845
 1098.193, -39.170540
 1108.960, -39.190109
 1119.727, -39.243088
 1130.493, -39.329468
 1141.260, -39.449818
 1152.026, -39.605328
 1162.793, -39.797962
 1173.560, -40.030506
 1184.326, -40.306713
 1195.093, -40.631416
 1205.859, -41.010689
 1216.626, -41.452003
 1227.393, -41.964432
 1238.159, -42.558815
 1248.926, -43.247818
 1259.692, -44.045547
 1270.459, -44.965912
 1281.226, -46.017609
 1291.992, -47.190201
 1302.759, -48.419731
 1313.525, -49.521416
 1324.292, -50.138496
 1335.059, -49.920380
 1345.825, -48.909874
 1356.592, -47.488972
 1367.358, -45.989357
 1378.125, -44.570969
 1388.892, -43.286552
 1399.658, -42.143463
 1410.425, -41.133335
 1421.191, -40.243843
 1431.958, -39.462811
 1442.725, -38.779537
 1453.491, -38.184982
 1464.258, -37.671677
 1475.024, -37.233479
 1485.791, -36.865360
 1496.558, -36.563217
 1507.324, -36.323708
 1518.091, -36.144131
 1528.857, -36.022312
 1539.624, -35.956558
 1550.391, -35.945545
 1561.157, -35.988312
 1571.924, -36.084190
 1582.690, -36.232750
 1593.457, -36.433800
 1604.224, -36.687275
 1614.990, -36.993225
 1625.757, -37.351662
 1636.523, -37.762459
 1647.290, -38.225082
 1658.057, -38.738300
 1668.823, -39.299648
 1679.590, -39.904709
 1690.356, -40.546074
 1701.123, -41.211952
 1711.890, -41.884571
 1722.656, -42.538780
 1733.423, -43.141823
 1744.189, -43.655869
 1754.956, -44.044491
 1765.723, -44.282368
 1776.489, -44.363831
 1787.256, -44.305061
 1798.022, -44.138252
